position,bestmove
1k1r1b1r/pppq1pp1/3p1nn1/3Pp2p/2P1P2P/2N1BBP1/PP3P2/R2QK2R w KQ - 3 13,e3a7
r1bqnrk1/p2p1pp1/1pn4p/2pNP1N1/7R/4Q1P1/PP4BP/2KR4 w - - 0 20,g5h7
r1br2k1/pp3p1p/3p4/1NpPb2p/4P2q/7P/PP2QPP1/R1B2RK1 b - - 3 17,c8h3
6r1/3bp1k1/5b2/1pq2Pp1/r2R2Pp/2PP4/1B3QB1/1K2R3 b - - 0 35,g8c8
2b2rk1/r4pp1/1bpqp2p/2N5/p2P1RPP/P3QR2/BP3PK1/8 w - - 1 41,g4g5
1q4k1/p4pp1/4pnbp/Q2p4/N7/1P1P1nP1/PB2rPKP/2R2B2 b - - 3 24,f3h4
r3kb1r/pp3bpp/2pp1n2/q1n1pN2/4P3/P1N1B2P/1PP1QPP1/2KR1B1R w kq - 1 14,d1d6
r3kb1r/pp3bpp/2pR4/q3pN2/4n3/P3B2P/1PP1QPP1/2K2B1R w kq - 0 16,e3b6
r2b1q2/rn3p1k/3pP1p1/1b1P4/BPp1PQ2/2B4P/R5Pp/R6K w - - 0 35,a1f1
q3nk2/3b3r/P2p4/Q2Np1p1/5pP1/5n1P/Rr3PK1/2NR1B2 b - - 3 46,d7g4
1r4r1/3q1npk/2b1pbnp/Rp1p4/1N1P3P/2PQ1pP1/1K3B2/5B1R w - - 0 1,d3g6
r1bq1rk1/pp1nbppp/4p3/1N1pP1P1/1n3P2/1N1BB3/PPP4P/R2QK2R w KQ - 1 14,d3h7
rnbq1r1k/pp2b3/4p1Q1/3p2B1/7P/2p5/PPP2PP1/R3K2R w KQ - 1 15,h1h3
2r5/1b3nkr/1p1p1p1p/pPq1pP2/P1PpP1P1/1B1P2K1/1Q1B3R/7R w - - 5 53,g4g5
3r1rk1/pp1bbp1p/1qn1p1p1/3nP1N1/8/P1NB4/1P3PPP/1RBQR1K1 w - - 0 15,g5h7
3qr1kr/1b2bpp1/1pn5/p1pPpP2/P1P1N1P1/1P4Qp/7P/R1BR2KB w - - 3 29,f5f6
