position,bestmove
8/4kr2/R2p4/1p1Pp3/5pp1/3K1P2/PPP5/8 w - - 0 40,"['a6a7',]"
5rk1/pR5p/2r1pBp1/4P3/2b5/3p4/P4PPP/4R1K1 b - - 1 27,"['f8f6',]"
8/7K/pp3k2/2p4P/P7/2P5/8/8 b - - 1 44,"['c5c4',]"
3r4/ppp1Q3/1b3P2/3k4/4qp2/P1Pr4/1P3P2/1K2N3 w - - 6 32,"['e7d8',]"
8/6pk/8/R7/5Pp1/p5P1/3K3P/r7 b - - 3 46,"['a3a2',]"
1kq1r2r/p1p2pp1/1pPb4/3P4/Q1B2nbp/4B3/P2N1PPP/1R2R1K1 w - - 0 21,"['c4a6',]"
8/8/8/p1p3P1/3k1N1P/6K1/8/3b4 w - - 0 43,"['h4h5',]"
8/8/p3p3/3p2p1/1P1Ppk2/2P4P/5PK1/8 b - - 4 42,"['e6e5',]"
8/5p2/k1p2p1p/2P1p2P/2K1P1P1/5P2/8/8 w - - 2 44,"['f3f4',]"
8/B5p1/1p2kp1p/p1b4P/P1P1K1P1/1P6/8/8 w - - 11 49,"['b3b4',]"
8/b7/P1p3p1/2p2p1p/2K1k3/1P4PP/2PB4/8 b - - 1 44,"['h5h4',]"
r6k/4b1p1/4Q2p/1p2p3/q7/2PK4/1P1R2PP/3R4 b - - 4 32,"['a8d8',]"
6k1/5p2/3Kp1p1/3pP3/3P1PP1/8/8/8 w - - 3 50,"['f4f5',]"
2kr2r1/2p2p2/3ppq2/R2b4/1QP1P1np/8/4BPPB/1R4K1 w - - 0 24,"['e2g4',]"
8/8/pp4p1/2p1p1k1/PPP1P3/5PK1/8/8 w - - 0 47,"['a4a5',]"
8/pp5k/2pp2p1/4q1Q1/4P1PP/3P1K2/P7/8 w - - 2 35,"['g5e5',]"
r2qrk2/1p2npbQ/6p1/p2pp1P1/3p4/BP1P3P/P2N3P/5RK1 w - - 0 22,"['d2f3',]"
8/8/1p1n1k2/1PpP2p1/2P1pp1p/7P/4BPP1/4K3 b - - 1 42,"['f4f3',]"
8/5k2/p7/1p4p1/2p3K1/2Pq3P/PP2Q3/8 w - - 1 35,"['e2d3',]"
8/2p3pp/b7/2PBkp2/4P1P1/4PK2/7P/8 b - - 0 33,"['f5e4',]"
r3rqk1/pp3p1p/2b3p1/3p1P2/8/3B2RP/1P1Q2PK/R7 w - - 1 27,"['f5g6',]"
8/7p/6p1/1p2k1PP/1p2P3/1P3K2/8/8 w - - 0 35,"['h5g6',]"
8/8/8/r3k3/1R3p2/1P6/1P6/1K6 b - - 0 44,"['a5c5',]"
4rrk1/pp1bnpBp/1qn3p1/2p2p2/7Q/1BNP1p2/PPP3PP/R4R1K w - - 0 15,"['h4h6',]"
2b2k2/2q2p2/p1p2Ppr/4p3/2r1B3/5Q2/P1P4P/R2R3K w - - 0 25,"['f3e3',]"
8/1q4p1/6kp/3BQ3/5pP1/6b1/6K1/4n3 w - - 0 48,"['g2h3',]"
4B3/2b5/1k3p1p/pPpPp1pP/K1P1P1P1/8/8/8 b - - 8 49,"['f6f5',]"
B4rk1/2ppqppp/8/p1p5/Q7/2P5/P1P2PPP/R1B2bK1 b - - 0 15,"['e7e1',]"
r2qr2k/p5pp/1p3p2/3PnQ2/bB2P3/7P/P3BPP1/R4RK1 b - - 0 23,"['g7g5',]"
