position,bestmove
r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2b1/PqP3PP/7K w - - 0 25,"['e6e7',]"
5rk1/1p3ppp/pq1Q1b2/8/8/1P3N2/P4PPP/3R2K1 b - - 3 27,"['f8d8',]"
8/5R2/1p2P3/p4r2/P6p/1P3Pk1/4K3/8 b - - 2 64,"['f5e5',]"
r2qr1k1/b1p2ppp/p5n1/P1p1p3/4P1n1/B2P2Pb/3NBP1P/RN1QR1K1 w - - 0 17,"['e2g4',]"
8/8/4k1p1/2KpP2P/5P2/8/8/8 b - - 0 53,"['g6h5',]"
4r3/1k6/pp3P2/1b5p/3R1p2/P1R2P2/1P4PP/6K1 b - - 0 35,"['e8e1',]"
r4rk1/pp2Bppp/2n1b3/q1pp4/8/P1Q2NP1/1PP1PP1P/2KR3R b - - 1 15,"['a5c3',]"
r1bq3r/pp1nbkp1/2p1p2p/8/2BP4/1PN3P1/P3QP1P/3R1RK1 w - - 0 20,"['e2e6',]"
3r3r/pQNk1ppp/1qnR1n2/1B6/8/8/PPP3PP/5R1K b - - 0 19,"['d7d6',]"
5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R3Q1/P3p1P1/2R3K1 b - - 1 41,"['f7f4',]"
8/7R/8/5p2/4bk1P/8/2r5/5KR1 b - - 8 51,"['f4f3',]"
3R4/8/8/KB2b3/1p6/1P2k3/3p4/8 b - - 0 58,"['e5c7',]"
4r3/5pk1/1Q3np1/3p3p/2q5/P4N1P/1P3RP1/7K b - - 0 34,"['f6e4',]"
r4rk1/5ppp/1np2q2/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 w - - 2 18,"['d1h5',]"
2kr3r/p4p2/1p2p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 w - - 0 21,"['d4a1',]"
6k1/5ppp/r1p5/p1n1rP2/8/2P2N1P/2P3P1/3R2K1 w - - 0 22,"['d1d8',]"
2r2rk1/pbq1bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 w - - 4 24,"['b1b7',]"
N6r/1p1k1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R b KQ - 0 18,"['a5c3',]"
2r3k1/2r4p/4p1p1/1p1q1pP1/p2P1P1Q/P6R/4bB2/2R3K1 w - - 6 35,"['h4h7',]"
7r/6k1/2b1Rp2/8/P1N3p1/5nP1/5P2/Q4K2 b - - 0 38,"['h8h1',]"
5r1k/pp4pp/5p2/1BbQp1r1/7K/7P/1PP3P1/3R3R b - - 3 26,"['c5f2',]"
2r3k1/p4pp1/Qq2p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 w - - 4 34,"['a6c8',]"
6k1/1p4p1/1p3p1p/2r1p3/2n5/r3PN2/2RnNPPP/2R3K1 w - - 0 33,"['f3d2',]"
1rb3k1/q4rP1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 w - - 1 30,"['c2h7',]"
6nr/p4p1p/k1p5/1p6/1QN5/2P1P3/4KPqP/8 w - - 0 27,"['b4a5',]"
r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1PP1/PP4P1/R1B2R1K b kq - 0 17,"['g6h5',]"
r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N2P2/1PPQ2PP/3RR1K1 b - - 0 18,"['d6c5',]"
k1r1b3/p1r1nppp/Bp1qpn2/2Np4/1P1P4/PQR1PN2/5PPP/2R3K1 b - - 1 19,"['b6c5',]"
8/4R3/p4kpp/3B4/5q2/8/5P1P/6K1 w - - 6 41,"['e7f7',]"
r3kb1r/pppqpn1p/5p2/3p1bpQ/2PP4/2N1P1B1/PP3PPP/R3KB1R b KQkq - 2 11,"['f5g4',]"
r5k1/pp4pp/4p1q1/4p3/3n4/P3Q1P1/1PP4P/2KR1R2 b - - 5 24,"['g6c2',]"
r7/2p3rk/p2p1q1p/Pp1P4/1P2P3/2PQ4/6R1/R5K1 w - - 3 29,"['e4e5',]"
8/8/kp6/p4pQp/q7/7P/3r2P1/4R2K w - - 0 49,"['g5d2',]"
r3brk1/5pp1/p2qpn1p/P2pn3/2pP4/2P1PN2/5PPP/RB1QK2R w KQ - 0 17,"['d4e5',]"
r3k2r/ppq1bppp/4pn2/2Ppn3/1P4bP/2P2N2/P3BPP1/RNBQ1RK1 w kq - 3 11,"['f3e5',]"
7r/p4pk1/1pp3p1/8/6q1/4Q3/PP1R1P1r/5KN1 w - - 0 39,"['e3e5',]"
3r1rk1/1b3pp1/3p4/p3nPPQ/4P3/3q1BN1/8/2R2RK1 w - - 2 29,"['f5f6',]"
r3qrk1/2p2pp1/p2bpn1p/2ppN3/3P1Pb1/1PP1P1B1/P2N2PP/R2Q1RK1 w - - 1 15,"['e5g4',]"
r3kbnr/ppp1qppp/2n5/1B1pP3/5B2/4PQ2/PPP2PPP/RN2K2R b KQkq - 2 7,"['e7b4',]"
r4rk1/pp3ppp/3p1q2/P1P1p3/2B5/2B2n2/2P2P1P/R2Q1R1K b - - 1 16,"['f6f4',]"
8/8/1p6/k7/P7/1KR4r/8/8 b - - 27 64,"['h3c3',]"
8/6p1/2B2n2/3b2k1/3B4/6K1/4P3/8 w - - 5 45,"['d4f6',]"
8/7p/4k3/pb1p1pPB/1n1P3P/N1p1P3/4K3/8 w - - 2 43,"['a3b5',]"
r6k/q1p2p1p/1b2bPr1/p1ppP2Q/3P2p1/4B3/PP2NRPP/3R2K1 w - - 2 26,"['e2f4',]"
r2r2k1/1p2qppp/2n1p3/5Q2/p2P4/P4N2/BP3PPP/2R1R1K1 b - - 0 20,"['e6f5',]"
2nk4/8/2PBp3/1pK1P1p1/1P4Pn/8/8/8 w - - 3 43,"['c5b5',]"
1r5r/p3kp2/4p2p/4P3/R4Pp1/6P1/P1P4P/4K2R b K - 2 25,"['b8b1',]"
8/3pk3/R7/1R2PK1p/2PPn1r1/8/8/8 b - - 0 43,"['e4g3',]"
6k1/Q2bqr1p/2rpp1pR/p7/Pp2P3/1B3P2/1PP3P1/2KR4 b - - 7 22,"['e7g5',]"
1r3k1r/pNqnppb1/6pn/2p3Np/7P/2P2Q2/PP3PP1/R1B1K2R w KQ - 3 16,"['g5e6',]"
2r5/pR5p/5p1k/4p3/4R3/B4nPP/PP3P2/1K6 b - - 0 27,"['f3d2',]"
8/6pk/7p/2pq4/3p4/5PP1/P3QK1P/8 w - - 2 41,"['e2e4',]"
r1b1k1nr/1pp2ppp/p1pb1q2/4p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 w kq - 1 7,"['d4e5',]"
6k1/r1b1q3/2p3p1/2Pp4/1P2p1n1/2B1P3/NQ6/2K4R w - - 2 37,"['h1h8',]"
rn3rk1/p5pp/3N4/4np1q/5Q2/1P6/PB1P1KP1/2R4R b - - 1 25,"['e5d3',]"
r3kb1r/p4ppp/b3p3/2pq4/3Q4/4BN2/PPP2PPP/R3K2R w KQkq - 0 12,"['d4a4',]"
7R/1p2k2p/p2n2p1/4K3/8/6P1/P6P/8 b - - 11 37,"['d6f7',]"
r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQR1K1 b q - 1 10,"['g3e4',]"
6rk/pp6/2n5/3ppn1p/3p4/2P2P1q/PP3QNB/R5RK b - - 3 29,"['f5g3',]"
r1bqk2r/pp1nbppp/3p4/1B1p4/3P1B2/5N2/PPP2PPP/R2QK2R b KQkq - 3 9,"['d8a5',]"
r2qr1k1/ppp2ppp/4P3/8/1nP2Q2/2N2N1P/PP3KP1/R4R2 b - - 0 15,"['b4d3',]"
2r2rk1/6pp/3Q1q2/8/3N1B2/6P1/PP1K3P/5R2 b - - 0 24,"['f6d6',]"
3r2k1/4nppp/pq3b2/1p2p3/2r2P2/2P1NR2/PP1Q2BP/3R2K1 w - - 0 25,"['d2d8',]"
rnbqkb1r/pppp2pp/8/4P3/2B5/4pQ2/PPPP2PP/R1B1K1NR b KQkq - 1 7,"['d8h4',]"
8/1N3k2/6p1/8/2P3P1/pr6/R7/5K2 b - - 2 56,"['b3b1',]"
4r3/p5k1/2R4p/2Pp4/1P1pr1P1/P6P/8/3R3K b - - 0 35,"['e4e1',]"
4qk2/1b3R2/p7/1p2Q3/4P2P/P2P3K/2r5/3R4 b - - 0 41,"['e8f7',]"
8/5k2/4R2p/p7/5rPK/8/7P/8 w - - 3 43,"['e6h6',]"
r1bk2r1/ppq2NQp/3bpn2/1Bpn4/5P2/1P6/PBPP2PP/RN2K2R b KQ - 0 13,"['d8e7',]"
3r4/R7/2p5/p1P2p2/1p4k1/nP2K3/P3NP2/8 b - - 4 41,"['a3c2',]"
8/7R/5p2/p7/7P/2p5/3k2N1/1K6 b - - 0 48,"['c3c2',]"
2kr2r1/1bp4n/1pq1p2p/p1P5/1P3B2/P6P/5RP1/RB3QK1 b - - 4 26,"['d8d1',]"
5rk1/5ppp/1p6/1q3P1Q/2pp3P/6R1/6PK/8 w - - 0 31,"['g3g7',]"
1r4k1/p4ppp/2Q5/3pq3/8/P6P/2PR1PP1/1R4K1 b - - 0 26,"['b8b1',]"
r4rk1/5pbp/p1n1p1p1/2p3NP/1p1q1B2/3P3Q/PPP3P1/R3R1K1 w - - 3 20,"['f4e3',]"
8/4kr2/R2p4/1p1Pp3/5pp1/3K1P2/PPP5/8 w - - 0 40,"['a6a7',]"
r2r2k1/2q1bpp1/3p3p/1ppn4/1P1BP3/P5Q1/4RPPP/R5K1 w - - 0 21,"['g3g7',]"
4rr1k/p1Qn2pp/3p1q2/8/8/2P5/PP3PPP/RN3RK1 b - - 0 16,"['f6f2',]"
5Q2/8/1bk1p1p1/5p2/3p4/5qPK/7P/8 w - - 2 52,"['f8a8',]"
3q2k1/3r4/pp3p1Q/2b1n3/P3N3/2P5/1P4PP/R6K w - - 1 25,"['e4f6',]"
8/2k3n1/K2p2p1/2pP2Pp/2P4P/7B/8/8 b - - 1 57,"['c7d8',]"
6k1/p3b2p/1p1pP3/2P3P1/2np3B/P6P/3Q3K/8 b - - 0 38,"['c4d2',]"
4r1k1/ppq3pp/2p2p2/4r3/4p1Q1/P5RP/1P3PP1/3R2K1 w - - 4 35,"['d1d7',]"
