position,bestmove
6k1/3q2p1/2r2pQP/1p2p1p1/nPp1P3/R7/2K1B3/8 w - - 1 59,"['g6h5']"
r3kb1r/1bqn1ppp/2n1p3/pQppP3/B2P3P/2P1BN2/PP3PP1/RN3RK1 b kq - 3 14,"['c5c4']"
r1rq1k2/1Q3p1p/3p1n1P/pNpPpPp1/P1P3P1/1P3P2/4RK2/R7 w - - 7 88,"['a1d1']"
r3kb1r/pp5p/1q4n1/3ppb2/2p5/2P1P1B1/PP3PPP/R1Q1KBNR b KQkq - 1 14,"['d5d4']"
2q1k2r/p1r1bpQ1/4p1np/1p1pP3/1PnP4/P3B1PN/3N1PKP/R4R2 b k - 4 22,"['c4b6']"
r1bqrnk1/1p3pb1/p5pp/2pPP3/P3NB2/5NP1/1P5P/R2QR1K1 w - - 0 20,"['e5e6']"
rqb1k2r/pp1pppbp/6p1/1B1Nn3/2p1P3/2P3P1/PP1P1P1P/R1BQR1K1 w kq - 0 13, "['b2b3']"
2b1n3/1pk4K/pR1p4/P1pPp3/2N1P3/1P2P1r1/2PN4/8 b - - 5 53, "['c7d7']"
1B4k1/1R3p2/2B1b1p1/2P4p/1P6/P3b1K1/6P1/3r4 b - - 3 43, "['e3g1']"
r5rk/5p1p/3p1PpQ/p1pPp3/1p2P1P1/7P/q2n1RB1/2B2NK1 b - - 1 28, "['a2a1']"
